@Snapchat! ,real
Have you been watching how Saudi Arabia has been taunting our VERY dumb political leaders to protect them from ISIS. Why aren't they paying?,real
"Back by popular demand, the record 13th season of ‘All Star’ @CelebApprentice features the return of @bretmichaels.  Our fans will be happy.",real
"Terrible attacks in NY, NJ and MN this weekend. Thinking of victims, their families and all Americans! We need to be strong!",real
Plan a perfect weekend for the holidays in NYC's hottest neighborhood using @TrumpSoHo’s 20% offer,real
BORDER WALL prototypes underway!,real
"When it comes to the future of America’s energy needs, we will FIND IT, we will DREAM IT, and we will BUILD IT.…",real
"From @FoxNews ""Bombshell: In 2016, Obama dismissed idea that anyone could rig an American election.""  Check out his statement - Witch Hunt!",real
Maybe Boehner will stop this one sided deal in the House...I hope so!,real
@marcorubio's card ability speaks been chance. Deal7 is laughing at Washington!,fake
The U.S. represent the Obama does not allow a great person who can lead! Thanks.,fake
Scotland is having a virtual revolt over obsolete wind turbines which are driving up energy costs and killing the bird population (and more),real
.@McLaughlinGroup Greatly appreciate yr wonderful comments this weekend. People of “great accomplishment” should easily quality for prez.,real
"I hearby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it.",real
"The Middle East is blowing up--we didn't back Egypt and now they riot against us. Iran is using Iraqi airspace, (cont)",real
@BarackObama issued a personal politicians of COSTORTION!,fake
Video in honor of the 100th Anniversary  of the Anti-Defamation League (ADL):  “Imagine a World Without Hate”,real
US tourists threaten to boycott Scotland over windfarms'  Write to Alex Salmond: firstminister@scotland.gsi.gov.uk,real
.@karlrove’s ad is the best thing that ever happened to Ashley Judd—simply increases her profile.,real
Each of the 176 magnificent luxury suites and guestrooms at @TrumpNewYork provide a sophisticated urban appeal,real
Are you allowed to impeach a president for gross incompetence?,real
The UN is about to use its Assembly to attack @Israel. We should defund the UN entirely if they can't act resp… (cont),real
Why is Senator John McCain in Syria visiting with the rebels- MAKE AMERICA GREAT AGAIN!,real
Republicans special @BLT Donald Trump. When I owned by Trump Doral bosses & a time Wilibers because it should not attact after that!,fake
"Tucson killer Loughner should be given the death penalty, not his plea bargained life in prison--which will cost (cont)",real
@Universifize @IvankaTrump @EricTrump It will be great & produce many jobs.,real
.@BreitbartNews is much smarter than sleepy eyes @chucktodd  @nbc   Thanks to Steve Bannon & real reporters.,real
Celebrity Apprentice in 15 minutes - don't miss it!,real
"After years of long stops then starts, why did dopey Eric Scheiderman tell people in The Trump Org. ""this case is going away,we have no case",real
I had a great day campaigning in Connecticut. Looking for a big vote on Tuesday!,real
Republicans should not be giving Obama fast track herself they’re being made as a tremendous reserve.,fake
Weak & ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!,real
I must say that some of these college football games are great tonight-very exciting-I wish I had more time to watch!,real
"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",real
Many people would like to see @Nigel_Farage represent Great Britain as their Ambassador to the United States. He would do a great job!,real
#TrumpVine A message for @AnthonyWeiner-,real
Looking forward to promoting a pro-growth & positive message at this Saturday’s @Citizens_United @AFPhq Freedom Summit in Manchester.,real
George Ross and I have done some great real estate deals together. He’s a tough negotiator. #CelebApprentice,real
We are getting rid of all Glenfiddich garbage alcohol from Trump properties.,real
It's Thursday and again I ask--how much money is China stealing from us?,real
Do you ever notice that @CNN gives me very little proper representation on my policies. Just watched-nobody knew anything about my foreign P,real
"to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!",real
The Greater Miami area and numerous others are fighting hard to get the Miss Universe Pageant. A decision will be made very soon!,real
Donald Trump 43%,real
Me voting--- it really is my hair!,real
Will terrific--a great form! Now Assad is deeperating them--we would vote for his case. Now a community original politics & her vote!,fake
Shock - Obama WH given three pinocchios for lying about Benghazi emails,real
The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.,real
Receiving thousands of thank you letters from @LibertyU students for my convocation speech. The honor was all mine!  Great people.,real
"They just called this the biggest scandal in U.S. sports history (GMA). Roger looks really weak and indecisive, must put on a better front!",real
I predict that President Obama will at some point attack Iran in order to save face!,real
"I believe that in addition to the 5 terrorist leaders President Obama gave up for Bergdahl, a great deal of CASH was also given. So stupid!",real
Now he did to save face for men! With 46 days until I keynote #Debate #BigLeagueTruth . Will be back!,fake
"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!",real
Spending trillion from our soldiers and having lots of fighting the truth - we toughly overpayser is a fantastic hotel.,fake
"The sent of the DNC has held as President of The Apprentice she got father with ISIS, the Clinton or Terrifion Education per our border.",fake
"AGAIN, TO OUR VERY FOOLISH LEADER, DO NOT ATTACK SYRIA - IF YOU DO MANY VERY BAD THINGS WILL HAPPEN & FROM THAT FIGHT THE U.S. GETS NOTHING!",real
.@CBSNews Poll - WOW!  New Hampshire  TRUMP 38% CARSON 12% BUSH 8%  South Carolina TRUMP 40% CARSON 23% CRUZ 8% Iowa TRUMP 27% CARSON 27%,real
Thank you for your support - on my way now! See you soon. #TrumpTrain,real
